title,category,cuisine,ingredients,prep_time_min,cook_time_min,total_time_min,serves,difficulty,vegetarian,summary,instructions,difficulty_rating
Quick Spinach and Eggs Plate,entree,Mexican,"['eggs', 'sweet potatoes', 'spinach', 'lemon juice']",12,20,32,2,medium,True,A straightforward mexican dish featuring eggs and spinach.,1. Chop the spinach and prep the eggs. 2. Cook the sweet potatoes according to package directions. 3. Sauté the eggs and spinach until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Onion and Black Beans Plate,entree,Mexican,"['black beans', 'bread', 'onion', 'soy sauce']",5,22,27,2,easy,True,A straightforward mexican dish featuring black beans and onion.,1. Chop the onion and prep the black beans. 2. Cook the bread according to package directions. 3. Sauté the black beans and onion until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Black Beans Pasta Bowl,entree,Italian,"['black beans', 'pasta', 'carrots', 'soy sauce']",10,13,23,2,easy,True,A straightforward italian dish featuring black beans and carrots.,1. Chop the carrots and prep the black beans. 2. Cook the pasta according to package directions. 3. Sauté the black beans and carrots until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Salmon Tortillas Bowl,entree,Italian,"['salmon', 'tortillas', 'peas', 'garlic', 'teriyaki sauce']",5,22,27,4,easy,False,A straightforward italian dish featuring salmon and peas.,1. Chop the peas and prep the salmon. 2. Cook the tortillas according to package directions. 3. Sauté the salmon and peas until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Cabbage and Beef Strips Plate,entree,Asian,"['beef strips', 'sweet potatoes', 'cabbage', 'olive oil', 'lemon juice']",11,15,26,4,easy,False,A straightforward asian dish featuring beef strips and cabbage.,1. Chop the cabbage and prep the beef strips. 2. Cook the sweet potatoes according to package directions. 3. Sauté the beef strips and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,2
Beef Strips with Cabbage and Potatoes,entree,Italian,"['beef strips', 'potatoes', 'cabbage', 'ginger']",7,12,19,4,easy,False,A straightforward italian dish featuring beef strips and cabbage.,1. Chop the cabbage and prep the beef strips. 2. Cook the potatoes according to package directions. 3. Sauté the beef strips and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,1
Lentils with Broccoli and Tortillas,entree,Mediterranean,"['lentils', 'tortillas', 'broccoli', 'butter', 'soy sauce']",9,21,30,4,medium,True,A straightforward mediterranean dish featuring lentils and broccoli.,1. Chop the broccoli and prep the lentils. 2. Cook the tortillas according to package directions. 3. Sauté the lentils and broccoli until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Bell Pepper and Eggs Plate,entree,Mexican,"['eggs', 'potatoes', 'bell pepper', 'hot sauce', 'olive oil']",6,21,27,2,easy,True,A straightforward mexican dish featuring eggs and bell pepper.,1. Chop the bell pepper and prep the eggs. 2. Cook the potatoes according to package directions. 3. Sauté the eggs and bell pepper until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Spinach and Chickpeas Plate,entree,Mediterranean,"['chickpeas', 'bread', 'spinach']",15,15,30,2,medium,True,A straightforward mediterranean dish featuring chickpeas and spinach.,1. Chop the spinach and prep the chickpeas. 2. Cook the bread according to package directions. 3. Sauté the chickpeas and spinach until fully cooked. 4. Combine all ingredients together and serve hot.,3
Quick Bell Pepper and Eggs Plate,entree,Asian,"['eggs', 'sweet potatoes', 'bell pepper', 'hot sauce', 'soy sauce']",10,11,21,2,easy,True,A straightforward asian dish featuring eggs and bell pepper.,1. Chop the bell pepper and prep the eggs. 2. Cook the sweet potatoes according to package directions. 3. Sauté the eggs and bell pepper until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Eggs Rice Bowl,entree,Mexican,"['eggs', 'rice', 'tomatoes']",12,10,22,4,easy,True,A straightforward mexican dish featuring eggs and tomatoes.,1. Chop the tomatoes and prep the eggs. 2. Cook the rice according to package directions. 3. Sauté the eggs and tomatoes until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Shrimp Tortillas Bowl,entree,American,"['shrimp', 'tortillas', 'onion']",5,24,29,4,easy,False,A straightforward american dish featuring shrimp and onion.,1. Chop the onion and prep the shrimp. 2. Cook the tortillas according to package directions. 3. Sauté the shrimp and onion until fully cooked. 4. Combine all ingredients together and serve hot.,2
Shrimp with Cabbage and Bread,entree,Mediterranean,"['shrimp', 'bread', 'cabbage']",6,19,25,2,easy,False,A straightforward mediterranean dish featuring shrimp and cabbage.,1. Chop the cabbage and prep the shrimp. 2. Cook the bread according to package directions. 3. Sauté the shrimp and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Black Beans Sweet Potatoes Bowl,entree,Mexican,"['black beans', 'sweet potatoes', 'cabbage', 'hot sauce']",11,11,22,2,easy,True,A straightforward mexican dish featuring black beans and cabbage.,1. Chop the cabbage and prep the black beans. 2. Cook the sweet potatoes according to package directions. 3. Sauté the black beans and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Zucchini and Tofu Plate,entree,Italian,"['tofu', 'rice', 'zucchini']",15,18,33,2,medium,True,A straightforward italian dish featuring tofu and zucchini.,1. Chop the zucchini and prep the tofu. 2. Cook the rice according to package directions. 3. Sauté the tofu and zucchini until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Bell Pepper and Salmon Plate,entree,Mediterranean,"['salmon', 'rice', 'bell pepper', 'olive oil']",12,16,28,4,easy,False,A straightforward mediterranean dish featuring salmon and bell pepper.,1. Chop the bell pepper and prep the salmon. 2. Cook the rice according to package directions. 3. Sauté the salmon and bell pepper until fully cooked. 4. Combine all ingredients together and serve hot.,2
Salmon with Bell Pepper and Pasta,entree,Mediterranean,"['salmon', 'pasta', 'bell pepper', 'hot sauce']",8,20,28,2,easy,False,A straightforward mediterranean dish featuring salmon and bell pepper.,1. Chop the bell pepper and prep the salmon. 2. Cook the pasta according to package directions. 3. Sauté the salmon and bell pepper until fully cooked. 4. Combine all ingredients together and serve hot.,2
Tofu with Zucchini and Potatoes,entree,Mexican,"['tofu', 'potatoes', 'zucchini', 'lemon juice', 'soy sauce']",14,19,33,2,medium,True,A straightforward mexican dish featuring tofu and zucchini.,1. Chop the zucchini and prep the tofu. 2. Cook the potatoes according to package directions. 3. Sauté the tofu and zucchini until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Pork Chops Quinoa Bowl,entree,Asian,"['pork chops', 'quinoa', 'tomatoes', 'hot sauce', 'cheese']",6,24,30,2,medium,False,A straightforward asian dish featuring pork chops and tomatoes.,1. Chop the tomatoes and prep the pork chops. 2. Cook the quinoa according to package directions. 3. Sauté the pork chops and tomatoes until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Cabbage and Salmon Plate,entree,American,"['salmon', 'potatoes', 'cabbage', 'soy sauce', 'lemon juice']",10,13,23,2,easy,False,A straightforward american dish featuring salmon and cabbage.,1. Chop the cabbage and prep the salmon. 2. Cook the potatoes according to package directions. 3. Sauté the salmon and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Eggs Tortillas Bowl,entree,Mexican,"['eggs', 'tortillas', 'zucchini', 'butter', 'olive oil']",10,12,22,2,easy,True,A straightforward mexican dish featuring eggs and zucchini.,1. Chop the zucchini and prep the eggs. 2. Cook the tortillas according to package directions. 3. Sauté the eggs and zucchini until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Onion and Beef Strips Plate,entree,Mexican,"['beef strips', 'potatoes', 'onion', 'soy sauce', 'cheese']",6,20,26,4,easy,False,A straightforward mexican dish featuring beef strips and onion.,1. Chop the onion and prep the beef strips. 2. Cook the potatoes according to package directions. 3. Sauté the beef strips and onion until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Onion and Beef Strips Plate,entree,American,"['beef strips', 'sweet potatoes', 'onion', 'olive oil', 'hot sauce']",5,19,24,4,easy,False,A straightforward american dish featuring beef strips and onion.,1. Chop the onion and prep the beef strips. 2. Cook the sweet potatoes according to package directions. 3. Sauté the beef strips and onion until fully cooked. 4. Combine all ingredients together and serve hot.,2
Chicken Breast with Carrots and Bread,entree,Mediterranean,"['chicken breast', 'bread', 'carrots', 'hot sauce', 'olive oil']",10,18,28,4,easy,False,A straightforward mediterranean dish featuring chicken breast and carrots.,1. Chop the carrots and prep the chicken breast. 2. Cook the bread according to package directions. 3. Sauté the chicken breast and carrots until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Eggs Bread Bowl,entree,Asian,"['eggs', 'bread', 'cabbage', 'olive oil']",12,25,37,2,medium,True,A straightforward asian dish featuring eggs and cabbage.,1. Chop the cabbage and prep the eggs. 2. Cook the bread according to package directions. 3. Sauté the eggs and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,3
Simple Shrimp Pasta Bowl,entree,Mexican,"['shrimp', 'pasta', 'cabbage', 'soy sauce']",14,24,38,2,medium,False,A straightforward mexican dish featuring shrimp and cabbage.,1. Chop the cabbage and prep the shrimp. 2. Cook the pasta according to package directions. 3. Sauté the shrimp and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,3
Quick Carrots and Chickpeas Plate,entree,Mediterranean,"['chickpeas', 'pasta', 'carrots', 'garlic', 'teriyaki sauce']",7,13,20,2,easy,True,A straightforward mediterranean dish featuring chickpeas and carrots.,1. Chop the carrots and prep the chickpeas. 2. Cook the pasta according to package directions. 3. Sauté the chickpeas and carrots until fully cooked. 4. Combine all ingredients together and serve hot.,2
Chickpeas with Broccoli and Rice,entree,Mexican,"['chickpeas', 'rice', 'broccoli']",7,10,17,2,easy,True,A straightforward mexican dish featuring chickpeas and broccoli.,1. Chop the broccoli and prep the chickpeas. 2. Cook the rice according to package directions. 3. Sauté the chickpeas and broccoli until fully cooked. 4. Combine all ingredients together and serve hot.,1
Chicken Breast with Zucchini and Rice,entree,Mexican,"['chicken breast', 'rice', 'zucchini', 'teriyaki sauce', 'butter']",5,12,17,4,easy,False,A straightforward mexican dish featuring chicken breast and zucchini.,1. Chop the zucchini and prep the chicken breast. 2. Cook the rice according to package directions. 3. Sauté the chicken breast and zucchini until fully cooked. 4. Combine all ingredients together and serve hot.,1
Simple Shrimp Pasta Bowl,entree,Mexican,"['shrimp', 'pasta', 'broccoli']",5,13,18,4,easy,False,A straightforward mexican dish featuring shrimp and broccoli.,1. Chop the broccoli and prep the shrimp. 2. Cook the pasta according to package directions. 3. Sauté the shrimp and broccoli until fully cooked. 4. Combine all ingredients together and serve hot.,1
Quick Mushrooms and Chicken Breast Plate,entree,Italian,"['chicken breast', 'bread', 'mushrooms', 'garlic', 'olive oil']",8,14,22,2,easy,False,A straightforward italian dish featuring chicken breast and mushrooms.,1. Chop the mushrooms and prep the chicken breast. 2. Cook the bread according to package directions. 3. Sauté the chicken breast and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,2
Salmon with Bell Pepper and Tortillas,entree,Asian,"['salmon', 'tortillas', 'bell pepper', 'ginger']",9,22,31,4,medium,False,A straightforward asian dish featuring salmon and bell pepper.,1. Chop the bell pepper and prep the salmon. 2. Cook the tortillas according to package directions. 3. Sauté the salmon and bell pepper until fully cooked. 4. Combine all ingredients together and serve hot.,3
Quick Mushrooms and Beef Strips Plate,entree,Mediterranean,"['beef strips', 'pasta', 'mushrooms']",8,16,24,2,easy,False,A straightforward mediterranean dish featuring beef strips and mushrooms.,1. Chop the mushrooms and prep the beef strips. 2. Cook the pasta according to package directions. 3. Sauté the beef strips and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Cabbage and Chicken Breast Plate,entree,Italian,"['chicken breast', 'rice', 'cabbage', 'olive oil']",10,11,21,2,easy,False,A straightforward italian dish featuring chicken breast and cabbage.,1. Chop the cabbage and prep the chicken breast. 2. Cook the rice according to package directions. 3. Sauté the chicken breast and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Cabbage and Beef Strips Plate,entree,Asian,"['beef strips', 'bread', 'cabbage', 'cheese']",5,18,23,2,easy,False,A straightforward asian dish featuring beef strips and cabbage.,1. Chop the cabbage and prep the beef strips. 2. Cook the bread according to package directions. 3. Sauté the beef strips and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Tomatoes and Shrimp Plate,entree,Italian,"['shrimp', 'rice', 'tomatoes', 'lemon juice', 'butter']",13,24,37,4,medium,False,A straightforward italian dish featuring shrimp and tomatoes.,1. Chop the tomatoes and prep the shrimp. 2. Cook the rice according to package directions. 3. Sauté the shrimp and tomatoes until fully cooked. 4. Combine all ingredients together and serve hot.,3
Simple Beef Strips Noodles Bowl,entree,American,"['beef strips', 'noodles', 'spinach', 'cheese', 'olive oil']",15,15,30,4,medium,False,A straightforward american dish featuring beef strips and spinach.,1. Chop the spinach and prep the beef strips. 2. Cook the noodles according to package directions. 3. Sauté the beef strips and spinach until fully cooked. 4. Combine all ingredients together and serve hot.,3
Tofu with Broccoli and Potatoes,entree,Italian,"['tofu', 'potatoes', 'broccoli']",10,15,25,2,easy,True,A straightforward italian dish featuring tofu and broccoli.,1. Chop the broccoli and prep the tofu. 2. Cook the potatoes according to package directions. 3. Sauté the tofu and broccoli until fully cooked. 4. Combine all ingredients together and serve hot.,2
Pork Chops with Broccoli and Sweet Potatoes,entree,American,"['pork chops', 'sweet potatoes', 'broccoli', 'hot sauce']",7,20,27,4,easy,False,A straightforward american dish featuring pork chops and broccoli.,1. Chop the broccoli and prep the pork chops. 2. Cook the sweet potatoes according to package directions. 3. Sauté the pork chops and broccoli until fully cooked. 4. Combine all ingredients together and serve hot.,2
Lentils with Tomatoes and Noodles,entree,Mexican,"['lentils', 'noodles', 'tomatoes', 'butter', 'ginger']",7,11,18,4,easy,True,A straightforward mexican dish featuring lentils and tomatoes.,1. Chop the tomatoes and prep the lentils. 2. Cook the noodles according to package directions. 3. Sauté the lentils and tomatoes until fully cooked. 4. Combine all ingredients together and serve hot.,1
Salmon with Mushrooms and Potatoes,entree,Italian,"['salmon', 'potatoes', 'mushrooms', 'soy sauce', 'butter']",15,17,32,4,medium,False,A straightforward italian dish featuring salmon and mushrooms.,1. Chop the mushrooms and prep the salmon. 2. Cook the potatoes according to package directions. 3. Sauté the salmon and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,3
Pork Chops with Peas and Bread,entree,Mexican,"['pork chops', 'bread', 'peas']",13,11,24,2,easy,False,A straightforward mexican dish featuring pork chops and peas.,1. Chop the peas and prep the pork chops. 2. Cook the bread according to package directions. 3. Sauté the pork chops and peas until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Mushrooms and Pork Chops Plate,entree,Italian,"['pork chops', 'noodles', 'mushrooms', 'hot sauce']",13,24,37,4,medium,False,A straightforward italian dish featuring pork chops and mushrooms.,1. Chop the mushrooms and prep the pork chops. 2. Cook the noodles according to package directions. 3. Sauté the pork chops and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,3
Salmon with Mushrooms and Quinoa,entree,American,"['salmon', 'quinoa', 'mushrooms', 'olive oil', 'teriyaki sauce']",14,22,36,4,medium,False,A straightforward american dish featuring salmon and mushrooms.,1. Chop the mushrooms and prep the salmon. 2. Cook the quinoa according to package directions. 3. Sauté the salmon and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Pork Chops Potatoes Bowl,entree,American,"['pork chops', 'potatoes', 'mushrooms', 'cheese']",9,10,19,4,easy,False,A straightforward american dish featuring pork chops and mushrooms.,1. Chop the mushrooms and prep the pork chops. 2. Cook the potatoes according to package directions. 3. Sauté the pork chops and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,1
Quick Tomatoes and Lentils Plate,entree,Mediterranean,"['lentils', 'tortillas', 'tomatoes']",12,15,27,2,easy,True,A straightforward mediterranean dish featuring lentils and tomatoes.,1. Chop the tomatoes and prep the lentils. 2. Cook the tortillas according to package directions. 3. Sauté the lentils and tomatoes until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Bell Pepper and Tofu Plate,entree,Mexican,"['tofu', 'pasta', 'bell pepper', 'soy sauce', 'garlic']",13,19,32,4,medium,True,A straightforward mexican dish featuring tofu and bell pepper.,1. Chop the bell pepper and prep the tofu. 2. Cook the pasta according to package directions. 3. Sauté the tofu and bell pepper until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Onion and Eggs Plate,entree,Mexican,"['eggs', 'rice', 'onion', 'lemon juice', 'teriyaki sauce']",13,24,37,4,medium,True,A straightforward mexican dish featuring eggs and onion.,1. Chop the onion and prep the eggs. 2. Cook the rice according to package directions. 3. Sauté the eggs and onion until fully cooked. 4. Combine all ingredients together and serve hot.,2
Black Beans with Mushrooms and Quinoa,entree,Asian,"['black beans', 'quinoa', 'mushrooms', 'garlic']",13,14,27,2,easy,True,A straightforward asian dish featuring black beans and mushrooms.,1. Chop the mushrooms and prep the black beans. 2. Cook the quinoa according to package directions. 3. Sauté the black beans and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,2
