title,category,cuisine,ingredients,prep_time_min,cook_time_min,total_time_min,serves,difficulty,vegetarian,summary,instructions,difficulty rating
Salsa Verde Chicken Rice Bowl,entree,Mexican,"['chicken breast', 'olive oil', 'rice', 'broccoli', 'cumin', 'garlic']",20,10,30,4,easy,False,A family-friendly taco night style meal built around chicken with rice bowl.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the rice or grain until tender. 3. Cook the chicken breast with olive oil and rice until fully cooked. 4. Layer everything in a bowl and serve hot.,2
Southwest Chicken Rice Bowl,entree,Mexican,"['chicken breast', 'olive oil', 'rice', 'eggplant', 'tomato', 'cumin', 'garlic']",10,10,20,6,easy,False,A Mexican-inspired entree with bright flavors built around chicken with rice bowl.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the rice or grain until tender. 3. Cook the chicken breast with olive oil and rice until fully cooked. 4. Layer everything in a bowl and serve hot.,2
Lemon Herb Chicken Rice Bowl,entree,Mediterranean,"['chicken breast', 'olive oil', 'rice', 'spinach', 'tomato', 'onion', 'feta', 'garlic']",12,18,30,4,easy,False,A bright Mediterranean-style entree built around chicken with rice bowl.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the rice or grain until tender. 3. Cook the chicken breast with olive oil and rice until fully cooked. 4. Layer everything in a bowl and serve hot.,3
Mediterranean Chicken Rice Bowl,entree,Mediterranean,"['chicken breast', 'olive oil', 'rice']",20,10,30,4,easy,False,A light but satisfying dinner built around chicken with rice bowl.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the rice or grain until tender. 3. Cook the chicken breast with olive oil and rice until fully cooked. 4. Layer everything in a bowl and serve hot.,1
Garlic Oregano Chicken Rice Bowl,entree,Mediterranean,"['chicken breast', 'olive oil', 'rice', 'parsley', 'garlic']",20,10,30,2,easy,False,A bright Mediterranean-style entree built around chicken with rice bowl.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the rice or grain until tender. 3. Cook the chicken breast with olive oil and rice until fully cooked. 4. Layer everything in a bowl and serve hot.,2
Tomato Olive Chicken Rice Bowl,entree,Mediterranean,"['chicken breast', 'olive oil', 'rice', 'cauliflower', 'carrot', 'garlic']",10,10,20,6,easy,False,A light but satisfying dinner built around chicken with rice bowl.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the rice or grain until tender. 3. Cook the chicken breast with olive oil and rice until fully cooked. 4. Layer everything in a bowl and serve hot.,2
Zesty Herb Chicken Rice Bowl,entree,Mediterranean,"['chicken breast', 'olive oil', 'rice', 'cauliflower', 'carrot', 'parsley', 'garlic']",18,10,28,6,easy,False,A fresh and herb-forward main dish built around chicken with rice bowl.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the rice or grain until tender. 3. Cook the chicken breast with olive oil and rice until fully cooked. 4. Layer everything in a bowl and serve hot.,2
Sun-Dried Tomato Chicken Rice Bowl,entree,Mediterranean,"['chicken breast', 'olive oil', 'rice', 'sweet potato', 'onion', 'black beans', 'lemon', 'olives', 'garlic']",15,10,25,6,easy,False,A bright Mediterranean-style entree built around chicken with rice bowl.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the rice or grain until tender. 3. Cook the chicken breast with olive oil and rice until fully cooked. 4. Layer everything in a bowl and serve hot.,3
Ginger Garlic Chicken Rice Bowl,entree,Asian,"['chicken breast', 'olive oil', 'rice']",15,10,25,6,easy,False,A quick Asian-inspired entree built around chicken with rice bowl.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the rice or grain until tender. 3. Cook the chicken breast with olive oil and rice until fully cooked. 4. Layer everything in a bowl and serve hot.,1
Sesame Chicken Rice Bowl,entree,Asian,"['chicken breast', 'olive oil', 'rice', 'garlic']",18,10,28,2,easy,False,A savory umami-forward main dish built around chicken with rice bowl.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the rice or grain until tender. 3. Cook the chicken breast with olive oil and rice until fully cooked. 4. Layer everything in a bowl and serve hot.,1
Soy Glazed Chicken Rice Bowl,entree,Asian,"['chicken breast', 'olive oil', 'rice', 'onion', 'garlic']",12,18,30,6,easy,False,A savory umami-forward main dish built around chicken with rice bowl.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the rice or grain until tender. 3. Cook the chicken breast with olive oil and rice until fully cooked. 4. Layer everything in a bowl and serve hot.,2
Sweet Chili Chicken Rice Bowl,entree,Asian,"['chicken breast', 'olive oil', 'rice', 'corn', 'onion', 'garlic']",18,10,28,2,easy,False,A quick Asian-inspired entree built around chicken with rice bowl.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the rice or grain until tender. 3. Cook the chicken breast with olive oil and rice until fully cooked. 4. Layer everything in a bowl and serve hot.,2
Teriyaki Chicken Rice Bowl,entree,Asian,"['chicken breast', 'olive oil', 'rice', 'spinach', 'onion', 'soy sauce', 'garlic']",12,10,22,4,easy,False,A takeout-style dinner made at home built around chicken with rice bowl.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the rice or grain until tender. 3. Cook the chicken breast with olive oil and rice until fully cooked. 4. Layer everything in a bowl and serve hot.,2
Scallion Chicken Rice Bowl,entree,Asian,"['chicken breast', 'olive oil', 'rice', 'spinach', 'tomato', 'onion', 'sesame oil', 'garlic']",10,10,20,4,easy,False,A takeout-style dinner made at home built around chicken with rice bowl.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the rice or grain until tender. 3. Cook the chicken breast with olive oil and rice until fully cooked. 4. Layer everything in a bowl and serve hot.,3
Tuscan Chicken Pasta,entree,Italian,"['chicken breast', 'olive oil', 'pasta', 'sweet potato', 'onion', 'black beans', 'spinach', 'garlic', 'parmesan']",15,10,25,6,easy,False,A savory herb-rich dinner built around chicken with pasta.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the pasta according to package directions. 3. Cook the chicken breast with olive oil and pasta until fully cooked. 4. Toss everything together with the cooked pasta and serve hot.,3
Basil Tomato Chicken Pasta,entree,Italian,"['chicken breast', 'olive oil', 'salt', 'black pepper', 'pasta', 'kale', 'white beans', 'cream', 'garlic', 'parmesan']",10,25,35,6,easy,False,A savory herb-rich dinner built around chicken with pasta.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the pasta according to package directions. 3. Cook the chicken breast with olive oil and salt until fully cooked. 4. Toss everything together with the cooked pasta and serve hot.,3
Garlic Parmesan Chicken Pasta,entree,Italian,"['chicken breast', 'olive oil', 'pasta', 'parmesan']",18,10,28,4,easy,False,A savory herb-rich dinner built around chicken with pasta.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the pasta according to package directions. 3. Cook the chicken breast with olive oil and pasta until fully cooked. 4. Toss everything together with the cooked pasta and serve hot.,1
Rustic Chicken Pasta,entree,Italian,"['chicken breast', 'olive oil', 'pasta', 'parmesan', 'garlic']",10,15,25,4,easy,False,A Italian-inspired comfort entree built around chicken with pasta.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the pasta according to package directions. 3. Cook the chicken breast with olive oil and pasta until fully cooked. 4. Toss everything together with the cooked pasta and serve hot.,2
Creamy Herb Chicken Pasta,entree,Italian,"['chicken breast', 'olive oil', 'pasta', 'broccoli', 'garlic', 'parmesan']",10,10,20,2,easy,False,A savory herb-rich dinner built around chicken with pasta.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the pasta according to package directions. 3. Cook the chicken breast with olive oil and pasta until fully cooked. 4. Toss everything together with the cooked pasta and serve hot.,2
Roasted Garlic Chicken Pasta,entree,Italian,"['chicken breast', 'olive oil', 'pasta', 'onion', 'basil', 'garlic', 'parmesan']",15,10,25,2,easy,False,A Italian-inspired comfort entree built around chicken with pasta.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the pasta according to package directions. 3. Cook the chicken breast with olive oil and pasta until fully cooked. 4. Toss everything together with the cooked pasta and serve hot.,2
Lemon Herb Chicken Pasta,entree,Mediterranean,"['chicken breast', 'olive oil', 'pasta', 'kale', 'white beans', 'oregano', 'garlic', 'parmesan']",15,15,30,6,easy,False,A fresh and herb-forward main dish built around chicken with pasta.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the pasta according to package directions. 3. Cook the chicken breast with olive oil and pasta until fully cooked. 4. Toss everything together with the cooked pasta and serve hot.,3
Mediterranean Chicken Pasta,entree,Mediterranean,"['chicken breast', 'olive oil', 'pasta']",18,17,35,4,easy,False,A fresh and herb-forward main dish built around chicken with pasta.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the pasta according to package directions. 3. Cook the chicken breast with olive oil and pasta until fully cooked. 4. Toss everything together with the cooked pasta and serve hot.,1
Garlic Oregano Chicken Pasta,entree,Mediterranean,"['chicken breast', 'olive oil', 'pasta', 'garlic', 'parmesan']",10,20,30,6,easy,False,A fresh and herb-forward main dish built around chicken with pasta.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the pasta according to package directions. 3. Cook the chicken breast with olive oil and pasta until fully cooked. 4. Toss everything together with the cooked pasta and serve hot.,2
Tomato Olive Chicken Pasta,entree,Mediterranean,"['chicken breast', 'olive oil', 'pasta', 'eggplant', 'garlic', 'parmesan']",12,10,22,2,easy,False,A light but satisfying dinner built around chicken with pasta.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the pasta according to package directions. 3. Cook the chicken breast with olive oil and pasta until fully cooked. 4. Toss everything together with the cooked pasta and serve hot.,2
Zesty Herb Chicken Pasta,entree,Mediterranean,"['chicken breast', 'olive oil', 'pasta', 'onion', 'oregano', 'garlic', 'parmesan']",20,10,30,6,easy,False,A fresh and herb-forward main dish built around chicken with pasta.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the pasta according to package directions. 3. Cook the chicken breast with olive oil and pasta until fully cooked. 4. Toss everything together with the cooked pasta and serve hot.,2
Sun-Dried Tomato Chicken Pasta,entree,Mediterranean,"['chicken breast', 'olive oil', 'pasta', 'broccoli', 'carrot', 'snap peas', 'cucumber', 'garlic', 'parmesan']",15,15,30,2,easy,False,A fresh and herb-forward main dish built around chicken with pasta.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the pasta according to package directions. 3. Cook the chicken breast with olive oil and pasta until fully cooked. 4. Toss everything together with the cooked pasta and serve hot.,3
Herb Chicken Pasta,entree,American,"['chicken breast', 'olive oil', 'pasta']",20,10,30,6,easy,False,A savory weeknight entree built around chicken with pasta.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the pasta according to package directions. 3. Cook the chicken breast with olive oil and pasta until fully cooked. 4. Toss everything together with the cooked pasta and serve hot.,1
Garlic Chicken Pasta,entree,American,"['chicken breast', 'olive oil', 'pasta', 'parmesan']",18,10,28,2,easy,False,A comfort-food style dinner built around chicken with pasta.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the pasta according to package directions. 3. Cook the chicken breast with olive oil and pasta until fully cooked. 4. Toss everything together with the cooked pasta and serve hot.,1
Smoky Chicken Pasta,entree,American,"['chicken breast', 'olive oil', 'pasta', 'garlic', 'parmesan']",10,10,20,4,easy,False,A hearty and simple main dish built around chicken with pasta.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the pasta according to package directions. 3. Cook the chicken breast with olive oil and pasta until fully cooked. 4. Toss everything together with the cooked pasta and serve hot.,2
Lemon Pepper Chicken Pasta,entree,American,"['chicken breast', 'olive oil', 'pasta', 'parsley', 'garlic', 'parmesan']",20,10,30,4,easy,False,A comfort-food style dinner built around chicken with pasta.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the pasta according to package directions. 3. Cook the chicken breast with olive oil and pasta until fully cooked. 4. Toss everything together with the cooked pasta and serve hot.,2
Roasted Chicken Pasta,entree,American,"['chicken breast', 'olive oil', 'pasta', 'thyme', 'garlic powder', 'garlic', 'parmesan']",12,10,22,2,easy,False,A hearty and simple main dish built around chicken with pasta.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the pasta according to package directions. 3. Cook the chicken breast with olive oil and pasta until fully cooked. 4. Toss everything together with the cooked pasta and serve hot.,2
Homestyle Chicken Pasta,entree,American,"['chicken breast', 'olive oil', 'pasta', 'onion', 'thyme', 'paprika', 'garlic', 'parmesan']",18,10,28,4,easy,False,A comfort-food style dinner built around chicken with pasta.,1. Prep the chicken breast and gather the other ingredients. 2. Cook the pasta according to package directions. 3. Cook the chicken breast with olive oil and pasta until fully cooked. 4. Toss everything together with the cooked pasta and serve hot.,3
Herb Chicken Tacos,entree,American,"['chicken breast', 'olive oil', 'corn tortillas', 'sweet potato', 'onion', 'parsley', 'garlic powder', 'lime', 'cilantro']",10,20,30,6,easy,False,A savory weeknight entree built around chicken with tacos.,1. Prep the chicken breast and gather the other ingredients. 2. Warm the tortillas or wraps. 3. Cook the chicken breast with olive oil and corn tortillas until fully cooked. 4. Fill with the cooked ingredients and serve warm.,3
Garlic Chicken Tacos,entree,American,"['chicken breast', 'olive oil', 'corn tortillas', 'eggplant', 'tomato', 'zucchini', 'paprika', 'rosemary', 'lime', 'cilantro']",15,10,25,6,easy,False,A hearty and simple main dish built around chicken with tacos.,1. Prep the chicken breast and gather the other ingredients. 2. Warm the tortillas or wraps. 3. Cook the chicken breast with olive oil and corn tortillas until fully cooked. 4. Fill with the cooked ingredients and serve warm.,3
Smoky Chicken Tacos,entree,American,"['chicken breast', 'olive oil', 'lime', 'cilantro']",10,10,20,2,easy,False,A savory weeknight entree built around chicken with tacos.,1. Prep the chicken breast and gather the other ingredients. 2. Warm the tortillas or wraps. 3. Cook the chicken breast with olive oil and lime until fully cooked. 4. Fill with the cooked ingredients and serve warm.,1
Lemon Pepper Chicken Tacos,entree,American,"['chicken breast', 'olive oil', 'butter', 'lime', 'cilantro']",18,10,28,6,easy,False,A comfort-food style dinner built around chicken with tacos.,1. Prep the chicken breast and gather the other ingredients. 2. Warm the tortillas or wraps. 3. Cook the chicken breast with olive oil and butter until fully cooked. 4. Fill with the cooked ingredients and serve warm.,2
Roasted Chicken Tacos,entree,American,"['chicken breast', 'olive oil', 'parsley', 'thyme', 'lime', 'cilantro']",12,10,22,2,easy,False,A savory weeknight entree built around chicken with tacos.,1. Prep the chicken breast and gather the other ingredients. 2. Warm the tortillas or wraps. 3. Cook the chicken breast with olive oil and parsley until fully cooked. 4. Fill with the cooked ingredients and serve warm.,2
Homestyle Chicken Tacos,entree,American,"['chicken breast', 'olive oil', 'corn tortillas', 'butter', 'parsley', 'lime', 'cilantro']",12,18,30,2,easy,False,A savory weeknight entree built around chicken with tacos.,1. Prep the chicken breast and gather the other ingredients. 2. Warm the tortillas or wraps. 3. Cook the chicken breast with olive oil and corn tortillas until fully cooked. 4. Fill with the cooked ingredients and serve warm.,2
Chipotle Chicken Tacos,entree,Mexican,"['chicken breast', 'olive oil', 'corn tortillas', 'onion', 'bell pepper', 'cumin', 'cilantro', 'lime']",15,10,25,6,easy,False,A Mexican-inspired entree with bright flavors built around chicken with tacos.,1. Prep the chicken breast and gather the other ingredients. 2. Warm the tortillas or wraps. 3. Cook the chicken breast with olive oil and corn tortillas until fully cooked. 4. Fill with the cooked ingredients and serve warm.,3
Cilantro Lime Chicken Tacos,entree,Mexican,"['chicken breast', 'olive oil', 'cilantro']",12,10,22,6,easy,False,A Mexican-inspired entree with bright flavors built around chicken with tacos.,1. Prep the chicken breast and gather the other ingredients. 2. Warm the tortillas or wraps. 3. Cook the chicken breast with olive oil and cilantro until fully cooked. 4. Fill with the cooked ingredients and serve warm.,1
Spicy Chicken Tacos,entree,Mexican,"['chicken breast', 'olive oil', 'corn tortillas', 'lime', 'cilantro']",20,10,30,6,easy,False,A bold and zesty main dish built around chicken with tacos.,1. Prep the chicken breast and gather the other ingredients. 2. Warm the tortillas or wraps. 3. Cook the chicken breast with olive oil and corn tortillas until fully cooked. 4. Fill with the cooked ingredients and serve warm.,2
Smoky Chicken Cabbage Tacos,entree,Mexican,"['chicken breast', 'olive oil', 'corn tortillas', 'cabbage', 'cilantro', 'lime']",20,10,30,4,easy,False,A bold and zesty main dish built around chicken with tacos.,1. Prep the chicken breast and gather the other ingredients. 2. Warm the tortillas or wraps. 3. Cook the chicken breast with olive oil and corn tortillas until fully cooked. 4. Fill with the cooked ingredients and serve warm.,2
Salsa Verde Chicken Tacos,entree,Mexican,"['chicken breast', 'olive oil', 'corn tortillas', 'kale', 'white beans', 'lime', 'cilantro']",12,10,22,2,easy,False,A Mexican-inspired entree with bright flavors built around chicken with tacos.,1. Prep the chicken breast and gather the other ingredients. 2. Warm the tortillas or wraps. 3. Cook the chicken breast with olive oil and corn tortillas until fully cooked. 4. Fill with the cooked ingredients and serve warm.,2
Southwest Chicken Tacos,entree,Mexican,"['chicken breast', 'olive oil', 'corn tortillas', 'kale', 'white beans', 'tomato', 'corn', 'lime', 'cilantro']",20,10,30,4,easy,False,A family-friendly taco night style meal built around chicken with tacos.,1. Prep the chicken breast and gather the other ingredients. 2. Warm the tortillas or wraps. 3. Cook the chicken breast with olive oil and corn tortillas until fully cooked. 4. Fill with the cooked ingredients and serve warm.,3
Herb Chicken Salad,entree,American,"['chicken breast', 'olive oil', 'butter']",18,10,28,6,easy,False,A savory weeknight entree built around chicken with salad.,1. Prep the chicken breast and gather the other ingredients. 2. Prepare the fresh ingredients and dressing. 3. Cook the chicken breast with olive oil and butter until fully cooked. 4. Toss everything together and serve.,1
Garlic Chicken Salad,entree,American,"['chicken breast', 'olive oil', 'paprika', 'thyme']",10,10,20,6,easy,False,A hearty and simple main dish built around chicken with salad.,1. Prep the chicken breast and gather the other ingredients. 2. Prepare the fresh ingredients and dressing. 3. Cook the chicken breast with olive oil and paprika until fully cooked. 4. Toss everything together and serve.,1
Smoky Chicken Salad,entree,American,"['chicken breast', 'olive oil', 'mixed greens', 'cabbage', 'garlic powder']",18,10,28,6,easy,False,A comfort-food style dinner built around chicken with salad.,1. Prep the chicken breast and gather the other ingredients. 2. Prepare the fresh ingredients and dressing. 3. Cook the chicken breast with olive oil and mixed greens until fully cooked. 4. Toss everything together and serve.,2
Lemon Pepper Chicken Salad,entree,American,"['chicken breast', 'olive oil', 'mixed greens', 'kale', 'butter', 'paprika']",15,10,25,6,easy,False,A comfort-food style dinner built around chicken with salad.,1. Prep the chicken breast and gather the other ingredients. 2. Prepare the fresh ingredients and dressing. 3. Cook the chicken breast with olive oil and mixed greens until fully cooked. 4. Toss everything together and serve.,2
Roasted Chicken Salad,entree,American,"['chicken breast', 'olive oil', 'mixed greens', 'eggplant', 'tomato', 'butter', 'paprika']",20,10,30,6,easy,False,A savory weeknight entree built around chicken with salad.,1. Prep the chicken breast and gather the other ingredients. 2. Prepare the fresh ingredients and dressing. 3. Cook the chicken breast with olive oil and mixed greens until fully cooked. 4. Toss everything together and serve.,2
Homestyle Chicken Salad,entree,American,"['chicken breast', 'olive oil', 'mixed greens', 'eggplant', 'tomato', 'zucchini', 'paprika', 'rosemary']",10,15,25,4,easy,False,A hearty and simple main dish built around chicken with salad.,1. Prep the chicken breast and gather the other ingredients. 2. Prepare the fresh ingredients and dressing. 3. Cook the chicken breast with olive oil and mixed greens until fully cooked. 4. Toss everything together and serve.,3
Lemon Herb Chicken Salad,entree,Mediterranean,"['chicken breast', 'olive oil', 'salt', 'black pepper', 'mixed greens', 'broccoli', 'carrot', 'snap peas', 'oregano']",18,10,28,2,easy,False,A light but satisfying dinner built around chicken with salad.,1. Prep the chicken breast and gather the other ingredients. 2. Prepare the fresh ingredients and dressing. 3. Cook the chicken breast with olive oil and salt until fully cooked. 4. Toss everything together and serve.,3
Mediterranean Chicken Salad,entree,Mediterranean,"['chicken breast', 'olive oil', 'salt', 'black pepper', 'mixed greens', 'cauliflower', 'carrot', 'peas', 'tomato', 'lemon']",12,10,22,2,easy,False,A fresh and herb-forward main dish built around chicken with salad.,1. Prep the chicken breast and gather the other ingredients. 2. Prepare the fresh ingredients and dressing. 3. Cook the chicken breast with olive oil and salt until fully cooked. 4. Toss everything together and serve.,3
Garlic Oregano Chicken Salad,entree,Mediterranean,"['chicken breast', 'olive oil', 'onion', 'oregano']",10,15,25,4,easy,False,A bright Mediterranean-style entree built around chicken with salad.,1. Prep the chicken breast and gather the other ingredients. 2. Prepare the fresh ingredients and dressing. 3. Cook the chicken breast with olive oil and onion until fully cooked. 4. Toss everything together and serve.,1
Tomato Olive Chicken Salad,entree,Mediterranean,"['chicken breast', 'olive oil', 'mixed greens', 'onion', 'oregano']",18,10,28,4,easy,False,A fresh and herb-forward main dish built around chicken with salad.,1. Prep the chicken breast and gather the other ingredients. 2. Prepare the fresh ingredients and dressing. 3. Cook the chicken breast with olive oil and mixed greens until fully cooked. 4. Toss everything together and serve.,2
Zesty Herb Chicken Salad,entree,Mediterranean,"['chicken breast', 'olive oil', 'mixed greens', 'mushrooms', 'onion', 'feta']",10,10,20,2,easy,False,A fresh and herb-forward main dish built around chicken with salad.,1. Prep the chicken breast and gather the other ingredients. 2. Prepare the fresh ingredients and dressing. 3. Cook the chicken breast with olive oil and mixed greens until fully cooked. 4. Toss everything together and serve.,2
Sun-Dried Tomato Chicken Salad,entree,Mediterranean,"['chicken breast', 'olive oil', 'mixed greens', 'cabbage', 'carrot', 'green onion', 'olives']",10,15,25,4,easy,False,A light but satisfying dinner built around chicken with salad.,1. Prep the chicken breast and gather the other ingredients. 2. Prepare the fresh ingredients and dressing. 3. Cook the chicken breast with olive oil and mixed greens until fully cooked. 4. Toss everything together and serve.,2
Herb Chicken Soup,entree,American,"['chicken breast', 'olive oil', 'broth', 'kale', 'white beans', 'thyme', 'butter', 'garlic']",10,20,30,2,medium,False,A savory weeknight entree built around chicken with soup.,"1. Prep the chicken breast and gather the other ingredients. 2. Simmer the ingredients in a pot until tender. 3. Cook the chicken breast with olive oil and broth until fully cooked. 4. Stir well, taste, and serve hot.",3
Garlic Chicken Soup,entree,American,"['chicken breast', 'olive oil', 'broth']",10,25,35,4,medium,False,A savory weeknight entree built around chicken with soup.,"1. Prep the chicken breast and gather the other ingredients. 2. Simmer the ingredients in a pot until tender. 3. Cook the chicken breast with olive oil and broth until fully cooked. 4. Stir well, taste, and serve hot.",1
Smoky Chicken Soup,entree,American,"['chicken breast', 'olive oil', 'broth', 'thyme', 'garlic']",18,17,35,6,medium,False,A comfort-food style dinner built around chicken with soup.,"1. Prep the chicken breast and gather the other ingredients. 2. Simmer the ingredients in a pot until tender. 3. Cook the chicken breast with olive oil and broth until fully cooked. 4. Stir well, taste, and serve hot.",2
Lemon Pepper Chicken Soup,entree,American,"['chicken breast', 'olive oil', 'broth', 'rosemary', 'parsley', 'garlic']",15,15,30,4,medium,False,A savory weeknight entree built around chicken with soup.,"1. Prep the chicken breast and gather the other ingredients. 2. Simmer the ingredients in a pot until tender. 3. Cook the chicken breast with olive oil and broth until fully cooked. 4. Stir well, taste, and serve hot.",2
Roasted Chicken Soup,entree,American,"['chicken breast', 'olive oil', 'broth', 'onion', 'rosemary', 'garlic powder', 'garlic']",15,15,30,6,medium,False,A savory weeknight entree built around chicken with soup.,"1. Prep the chicken breast and gather the other ingredients. 2. Simmer the ingredients in a pot until tender. 3. Cook the chicken breast with olive oil and broth until fully cooked. 4. Stir well, taste, and serve hot.",2
Homestyle Chicken Soup,entree,American,"['chicken breast', 'olive oil', 'broth', 'cauliflower', 'carrot', 'peas', 'garlic powder', 'butter', 'garlic']",12,18,30,4,medium,False,A savory weeknight entree built around chicken with soup.,"1. Prep the chicken breast and gather the other ingredients. 2. Simmer the ingredients in a pot until tender. 3. Cook the chicken breast with olive oil and broth until fully cooked. 4. Stir well, taste, and serve hot.",3
Lemon Herb Chicken Soup,entree,Mediterranean,"['chicken breast', 'olive oil', 'broth']",20,25,45,4,medium,False,A light but satisfying dinner built around chicken with soup.,"1. Prep the chicken breast and gather the other ingredients. 2. Simmer the ingredients in a pot until tender. 3. Cook the chicken breast with olive oil and broth until fully cooked. 4. Stir well, taste, and serve hot.",1
