title,category,cuisine,ingredients,prep_time_min,cook_time_min,total_time_min,serves,difficulty,vegetarian,summary
Southwest Chicken Rice Bowl,entree,Mexican,"['chicken breast', 'olive oil', 'rice', 'eggplant', 'tomato', 'cumin', 'garlic']",10,10,20,6,easy,False,A Mexican-inspired entree with bright flavors built around chicken with rice bowl.
Lemon Herb Chicken Rice Bowl,entree,Mediterranean,"['chicken breast', 'olive oil', 'rice', 'spinach', 'tomato', 'onion', 'feta', 'garlic']",12,18,30,4,easy,False,A bright Mediterranean-style entree built around chicken with rice bowl.
Mediterranean Chicken Rice Bowl,entree,Mediterranean,"['chicken breast', 'olive oil', 'rice']",20,10,30,4,easy,False,A light but satisfying dinner built around chicken with rice bowl.
Garlic Oregano Chicken Rice Bowl,entree,Mediterranean,"['chicken breast', 'olive oil', 'rice', 'parsley', 'garlic']",20,10,30,2,easy,False,A bright Mediterranean-style entree built around chicken with rice bowl.
Tomato Olive Chicken Rice Bowl,entree,Mediterranean,"['chicken breast', 'olive oil', 'rice', 'cauliflower', 'carrot', 'garlic']",10,10,20,6,easy,False,A light but satisfying dinner built around chicken with rice bowl.
Zesty Herb Chicken Rice Bowl,entree,Mediterranean,"['chicken breast', 'olive oil', 'rice', 'cauliflower', 'carrot', 'parsley', 'garlic']",18,10,28,6,easy,False,A fresh and herb-forward main dish built around chicken with rice bowl.
Sun-Dried Tomato Chicken Rice Bowl,entree,Mediterranean,"['chicken breast', 'olive oil', 'rice', 'sweet potato', 'onion', 'black beans', 'lemon', 'olives', 'garlic']",15,10,25,6,easy,False,A bright Mediterranean-style entree built around chicken with rice bowl.
Ginger Garlic Chicken Rice Bowl,entree,Asian,"['chicken breast', 'olive oil', 'rice']",15,10,25,6,easy,False,A quick Asian-inspired entree built around chicken with rice bowl.
Sesame Chicken Rice Bowl,entree,Asian,"['chicken breast', 'olive oil', 'rice', 'garlic']",18,10,28,2,easy,False,A savory umami-forward main dish built around chicken with rice bowl.
Soy Glazed Chicken Rice Bowl,entree,Asian,"['chicken breast', 'olive oil', 'rice', 'onion', 'garlic']",12,18,30,6,easy,False,A savory umami-forward main dish built around chicken with rice bowl.
Sweet Chili Chicken Rice Bowl,entree,Asian,"['chicken breast', 'olive oil', 'rice', 'corn', 'onion', 'garlic']",18,10,28,2,easy,False,A quick Asian-inspired entree built around chicken with rice bowl.
Teriyaki Chicken Rice Bowl,entree,Asian,"['chicken breast', 'olive oil', 'rice', 'spinach', 'onion', 'soy sauce', 'garlic']",12,10,22,4,easy,False,A takeout-style dinner made at home built around chicken with rice bowl.
Scallion Chicken Rice Bowl,entree,Asian,"['chicken breast', 'olive oil', 'rice', 'spinach', 'tomato', 'onion', 'sesame oil', 'garlic']",10,10,20,4,easy,False,A takeout-style dinner made at home built around chicken with rice bowl.
Tuscan Chicken Pasta,entree,Italian,"['chicken breast', 'olive oil', 'pasta', 'sweet potato', 'onion', 'black beans', 'spinach', 'garlic', 'parmesan']",15,10,25,6,easy,False,A savory herb-rich dinner built around chicken with pasta.
Basil Tomato Chicken Pasta,entree,Italian,"['chicken breast', 'olive oil', 'salt', 'black pepper', 'pasta', 'kale', 'white beans', 'cream', 'garlic', 'parmesan']",10,25,35,6,easy,False,A savory herb-rich dinner built around chicken with pasta.
Garlic Parmesan Chicken Pasta,entree,Italian,"['chicken breast', 'olive oil', 'pasta', 'parmesan']",18,10,28,4,easy,False,A savory herb-rich dinner built around chicken with pasta.
Rustic Chicken Pasta,entree,Italian,"['chicken breast', 'olive oil', 'pasta', 'parmesan', 'garlic']",10,15,25,4,easy,False,A Italian-inspired comfort entree built around chicken with pasta.
Creamy Herb Chicken Pasta,entree,Italian,"['chicken breast', 'olive oil', 'pasta', 'broccoli', 'garlic', 'parmesan']",10,10,20,2,easy,False,A savory herb-rich dinner built around chicken with pasta.
Roasted Garlic Chicken Pasta,entree,Italian,"['chicken breast', 'olive oil', 'pasta', 'onion', 'basil', 'garlic', 'parmesan']",15,10,25,2,easy,False,A Italian-inspired comfort entree built around chicken with pasta.
Lemon Herb Chicken Pasta,entree,Mediterranean,"['chicken breast', 'olive oil', 'pasta', 'kale', 'white beans', 'oregano', 'garlic', 'parmesan']",15,15,30,6,easy,False,A fresh and herb-forward main dish built around chicken with pasta.
Mediterranean Chicken Pasta,entree,Mediterranean,"['chicken breast', 'olive oil', 'pasta']",18,17,35,4,easy,False,A fresh and herb-forward main dish built around chicken with pasta.
Garlic Oregano Chicken Pasta,entree,Mediterranean,"['chicken breast', 'olive oil', 'pasta', 'garlic', 'parmesan']",10,20,30,6,easy,False,A fresh and herb-forward main dish built around chicken with pasta.
Tomato Olive Chicken Pasta,entree,Mediterranean,"['chicken breast', 'olive oil', 'pasta', 'eggplant', 'garlic', 'parmesan']",12,10,22,2,easy,False,A light but satisfying dinner built around chicken with pasta.
Zesty Herb Chicken Pasta,entree,Mediterranean,"['chicken breast', 'olive oil', 'pasta', 'onion', 'oregano', 'garlic', 'parmesan']",20,10,30,6,easy,False,A fresh and herb-forward main dish built around chicken with pasta.
Sun-Dried Tomato Chicken Pasta,entree,Mediterranean,"['chicken breast', 'olive oil', 'pasta', 'broccoli', 'carrot', 'snap peas', 'cucumber', 'garlic', 'parmesan']",15,15,30,2,easy,False,A fresh and herb-forward main dish built around chicken with pasta.
Herb Chicken Pasta,entree,American,"['chicken breast', 'olive oil', 'pasta']",20,10,30,6,easy,False,A savory weeknight entree built around chicken with pasta.
Garlic Chicken Pasta,entree,American,"['chicken breast', 'olive oil', 'pasta', 'parmesan']",18,10,28,2,easy,False,A comfort-food style dinner built around chicken with pasta.
Smoky Chicken Pasta,entree,American,"['chicken breast', 'olive oil', 'pasta', 'garlic', 'parmesan']",10,10,20,4,easy,False,A hearty and simple main dish built around chicken with pasta.
Lemon Pepper Chicken Pasta,entree,American,"['chicken breast', 'olive oil', 'pasta', 'parsley', 'garlic', 'parmesan']",20,10,30,4,easy,False,A comfort-food style dinner built around chicken with pasta.
Roasted Chicken Pasta,entree,American,"['chicken breast', 'olive oil', 'pasta', 'thyme', 'garlic powder', 'garlic', 'parmesan']",12,10,22,2,easy,False,A hearty and simple main dish built around chicken with pasta.
Homestyle Chicken Pasta,entree,American,"['chicken breast', 'olive oil', 'pasta', 'onion', 'thyme', 'paprika', 'garlic', 'parmesan']",18,10,28,4,easy,False,A comfort-food style dinner built around chicken with pasta.
Herb Chicken Tacos,entree,American,"['chicken breast', 'olive oil', 'corn tortillas', 'sweet potato', 'onion', 'parsley', 'garlic powder', 'lime', 'cilantro']",10,20,30,6,easy,False,A savory weeknight entree built around chicken with tacos.
Garlic Chicken Tacos,entree,American,"['chicken breast', 'olive oil', 'corn tortillas', 'eggplant', 'tomato', 'zucchini', 'paprika', 'rosemary', 'lime', 'cilantro']",15,10,25,6,easy,False,A hearty and simple main dish built around chicken with tacos.
Smoky Chicken Tacos,entree,American,"['chicken breast', 'olive oil', 'lime', 'cilantro']",10,10,20,2,easy,False,A savory weeknight entree built around chicken with tacos.
Lemon Pepper Chicken Tacos,entree,American,"['chicken breast', 'olive oil', 'butter', 'lime', 'cilantro']",18,10,28,6,easy,False,A comfort-food style dinner built around chicken with tacos.
Roasted Chicken Tacos,entree,American,"['chicken breast', 'olive oil', 'parsley', 'thyme', 'lime', 'cilantro']",12,10,22,2,easy,False,A savory weeknight entree built around chicken with tacos.
Homestyle Chicken Tacos,entree,American,"['chicken breast', 'olive oil', 'corn tortillas', 'butter', 'parsley', 'lime', 'cilantro']",12,18,30,2,easy,False,A savory weeknight entree built around chicken with tacos.
Chipotle Chicken Tacos,entree,Mexican,"['chicken breast', 'olive oil', 'corn tortillas', 'onion', 'bell pepper', 'cumin', 'cilantro', 'lime']",15,10,25,6,easy,False,A Mexican-inspired entree with bright flavors built around chicken with tacos.
Cilantro Lime Chicken Tacos,entree,Mexican,"['chicken breast', 'olive oil', 'cilantro']",12,10,22,6,easy,False,A Mexican-inspired entree with bright flavors built around chicken with tacos.
Spicy Chicken Tacos,entree,Mexican,"['chicken breast', 'olive oil', 'corn tortillas', 'lime', 'cilantro']",20,10,30,6,easy,False,A bold and zesty main dish built around chicken with tacos.
Smoky Chicken Cabbage Tacos,entree,Mexican,"['chicken breast', 'olive oil', 'corn tortillas', 'cabbage', 'cilantro', 'lime']",20,10,30,4,easy,False,A bold and zesty main dish built around chicken with tacos.
Salsa Verde Chicken Tacos,entree,Mexican,"['chicken breast', 'olive oil', 'corn tortillas', 'kale', 'white beans', 'lime', 'cilantro']",12,10,22,2,easy,False,A Mexican-inspired entree with bright flavors built around chicken with tacos.
Southwest Chicken Tacos,entree,Mexican,"['chicken breast', 'olive oil', 'corn tortillas', 'kale', 'white beans', 'tomato', 'corn', 'lime', 'cilantro']",20,10,30,4,easy,False,A family-friendly taco night style meal built around chicken with tacos.
Herb Chicken Salad,entree,American,"['chicken breast', 'olive oil', 'butter']",18,10,28,6,easy,False,A savory weeknight entree built around chicken with salad.
Garlic Chicken Salad,entree,American,"['chicken breast', 'olive oil', 'paprika', 'thyme']",10,10,20,6,easy,False,A hearty and simple main dish built around chicken with salad.
Smoky Chicken Salad,entree,American,"['chicken breast', 'olive oil', 'mixed greens', 'cabbage', 'garlic powder']",18,10,28,6,easy,False,A comfort-food style dinner built around chicken with salad.
Lemon Pepper Chicken Salad,entree,American,"['chicken breast', 'olive oil', 'mixed greens', 'kale', 'butter', 'paprika']",15,10,25,6,easy,False,A comfort-food style dinner built around chicken with salad.
Roasted Chicken Salad,entree,American,"['chicken breast', 'olive oil', 'mixed greens', 'eggplant', 'tomato', 'butter', 'paprika']",20,10,30,6,easy,False,A savory weeknight entree built around chicken with salad.
Homestyle Chicken Salad,entree,American,"['chicken breast', 'olive oil', 'mixed greens', 'eggplant', 'tomato', 'zucchini', 'paprika', 'rosemary']",10,15,25,4,easy,False,A hearty and simple main dish built around chicken with salad.
Lemon Herb Chicken Salad,entree,Mediterranean,"['chicken breast', 'olive oil', 'salt', 'black pepper', 'mixed greens', 'broccoli', 'carrot', 'snap peas', 'oregano']",18,10,28,2,easy,False,A light but satisfying dinner built around chicken with salad.
Mediterranean Chicken Salad,entree,Mediterranean,"['chicken breast', 'olive oil', 'salt', 'black pepper', 'mixed greens', 'cauliflower', 'carrot', 'peas', 'tomato', 'lemon']",12,10,22,2,easy,False,A fresh and herb-forward main dish built around chicken with salad.
Garlic Oregano Chicken Salad,entree,Mediterranean,"['chicken breast', 'olive oil', 'onion', 'oregano']",10,15,25,4,easy,False,A bright Mediterranean-style entree built around chicken with salad.
Tomato Olive Chicken Salad,entree,Mediterranean,"['chicken breast', 'olive oil', 'mixed greens', 'onion', 'oregano']",18,10,28,4,easy,False,A fresh and herb-forward main dish built around chicken with salad.
Zesty Herb Chicken Salad,entree,Mediterranean,"['chicken breast', 'olive oil', 'mixed greens', 'mushrooms', 'onion', 'feta']",10,10,20,2,easy,False,A fresh and herb-forward main dish built around chicken with salad.
Sun-Dried Tomato Chicken Salad,entree,Mediterranean,"['chicken breast', 'olive oil', 'mixed greens', 'cabbage', 'carrot', 'green onion', 'olives']",10,15,25,4,easy,False,A light but satisfying dinner built around chicken with salad.
Herb Chicken Soup,entree,American,"['chicken breast', 'olive oil', 'broth', 'kale', 'white beans', 'thyme', 'butter', 'garlic']",10,20,30,2,medium,False,A savory weeknight entree built around chicken with soup.
Garlic Chicken Soup,entree,American,"['chicken breast', 'olive oil', 'broth']",10,25,35,4,medium,False,A savory weeknight entree built around chicken with soup.
Smoky Chicken Soup,entree,American,"['chicken breast', 'olive oil', 'broth', 'thyme', 'garlic']",18,17,35,6,medium,False,A comfort-food style dinner built around chicken with soup.
Lemon Pepper Chicken Soup,entree,American,"['chicken breast', 'olive oil', 'broth', 'rosemary', 'parsley', 'garlic']",15,15,30,4,medium,False,A savory weeknight entree built around chicken with soup.
Roasted Chicken Soup,entree,American,"['chicken breast', 'olive oil', 'broth', 'onion', 'rosemary', 'garlic powder', 'garlic']",15,15,30,6,medium,False,A savory weeknight entree built around chicken with soup.
Homestyle Chicken Soup,entree,American,"['chicken breast', 'olive oil', 'broth', 'cauliflower', 'carrot', 'peas', 'garlic powder', 'butter', 'garlic']",12,18,30,4,medium,False,A savory weeknight entree built around chicken with soup.
Lemon Herb Chicken Soup,entree,Mediterranean,"['chicken breast', 'olive oil', 'broth']",20,25,45,4,medium,False,A light but satisfying dinner built around chicken with soup.
Mediterranean Chicken Soup,entree,Mediterranean,"['chicken breast', 'olive oil', 'broth', 'garlic']",12,18,30,2,medium,False,A fresh and herb-forward main dish built around chicken with soup.
Garlic Oregano Chicken Soup,entree,Mediterranean,"['chicken breast', 'olive oil', 'broth', 'oregano', 'garlic']",15,25,40,6,medium,False,A bright Mediterranean-style entree built around chicken with soup.
Tomato Olive Chicken Soup,entree,Mediterranean,"['chicken breast', 'olive oil', 'broth', 'cauliflower', 'parsley', 'garlic']",12,28,40,4,medium,False,A bright Mediterranean-style entree built around chicken with soup.
Zesty Herb Chicken Soup,entree,Mediterranean,"['chicken breast', 'olive oil', 'broth', 'cauliflower', 'carrot', 'lemon', 'garlic']",10,25,35,6,medium,False,A fresh and herb-forward main dish built around chicken with soup.
Sun-Dried Tomato Chicken Soup,entree,Mediterranean,"['chicken breast', 'olive oil', 'broth', 'mushrooms', 'onion', 'peas', 'lemon', 'garlic']",18,27,45,6,medium,False,A fresh and herb-forward main dish built around chicken with soup.
Ginger Garlic Chicken Soup,entree,Asian,"['chicken breast', 'olive oil', 'broth', 'cabbage', 'carrot', 'green onion', 'sesame oil', 'honey', 'garlic']",12,23,35,4,medium,False,A quick Asian-inspired entree built around chicken with soup.
Sesame Chicken Soup,entree,Asian,"['chicken breast', 'olive oil', 'salt', 'black pepper', 'broth', 'spinach', 'tomato', 'onion', 'green onion', 'garlic']",10,25,35,2,medium,False,A quick Asian-inspired entree built around chicken with soup.
Soy Glazed Chicken Soup,entree,Asian,"['chicken breast', 'olive oil', 'broth', 'garlic']",10,20,30,6,medium,False,A savory umami-forward main dish built around chicken with soup.
Sweet Chili Chicken Soup,entree,Asian,"['chicken breast', 'olive oil', 'broth', 'cabbage', 'garlic']",20,15,35,6,medium,False,A savory umami-forward main dish built around chicken with soup.
Teriyaki Chicken Soup,entree,Asian,"['chicken breast', 'olive oil', 'broth', 'onion', 'soy sauce', 'garlic']",12,28,40,4,medium,False,A quick Asian-inspired entree built around chicken with soup.
Scallion Chicken Soup,entree,Asian,"['chicken breast', 'olive oil', 'broth', 'cauliflower', 'carrot', 'peas', 'garlic']",20,20,40,2,medium,False,A quick Asian-inspired entree built around chicken with soup.
Herb Chicken Sheet Pan Dinner,entree,American,"['chicken breast', 'olive oil', 'onion', 'bell pepper', 'cauliflower', 'carrot', 'paprika', 'thyme']",12,18,30,4,easy,False,A hearty and simple main dish built around chicken with sheet pan dinner.
Garlic Chicken Sheet Pan Dinner,entree,American,"['chicken breast', 'olive oil', 'thyme']",20,15,35,2,easy,False,A comfort-food style dinner built around chicken with sheet pan dinner.
Smoky Chicken Sheet Pan Dinner,entree,American,"['chicken breast', 'olive oil', 'onion', 'garlic powder', 'thyme']",10,25,35,4,easy,False,A comfort-food style dinner built around chicken with sheet pan dinner.
Lemon Pepper Chicken Sheet Pan Dinner,entree,American,"['chicken breast', 'olive oil', 'onion', 'bell pepper', 'rosemary', 'garlic powder']",15,25,40,6,easy,False,A savory weeknight entree built around chicken with sheet pan dinner.
Roasted Chicken Sheet Pan Dinner,entree,American,"['chicken breast', 'olive oil', 'onion', 'bell pepper', 'broccoli', 'carrot', 'butter']",12,33,45,4,easy,False,A comfort-food style dinner built around chicken with sheet pan dinner.
Homestyle Chicken Sheet Pan Dinner,entree,American,"['chicken breast', 'olive oil', 'onion', 'bell pepper', 'eggplant', 'tomato', 'zucchini', 'paprika', 'thyme']",20,15,35,2,easy,False,A comfort-food style dinner built around chicken with sheet pan dinner.
Lemon Herb Chicken Sheet Pan Dinner,entree,Mediterranean,"['chicken breast', 'olive oil', 'onion']",20,15,35,6,easy,False,A light but satisfying dinner built around chicken with sheet pan dinner.
Mediterranean Chicken Sheet Pan Dinner,entree,Mediterranean,"['chicken breast', 'olive oil', 'onion', 'bell pepper']",10,25,35,2,easy,False,A bright Mediterranean-style entree built around chicken with sheet pan dinner.
Garlic Oregano Chicken Sheet Pan Dinner,entree,Mediterranean,"['chicken breast', 'olive oil', 'onion', 'bell pepper', 'oregano']",15,15,30,4,easy,False,A fresh and herb-forward main dish built around chicken with sheet pan dinner.
Tomato Olive Chicken Sheet Pan Dinner,entree,Mediterranean,"['chicken breast', 'olive oil', 'onion', 'bell pepper', 'cabbage', 'lemon']",10,25,35,4,easy,False,A fresh and herb-forward main dish built around chicken with sheet pan dinner.
Zesty Herb Chicken Sheet Pan Dinner,entree,Mediterranean,"['chicken breast', 'olive oil', 'onion', 'bell pepper', 'zucchini', 'olives', 'tomato']",10,20,30,6,easy,False,A light but satisfying dinner built around chicken with sheet pan dinner.
Sun-Dried Tomato Chicken Sheet Pan Dinner,entree,Mediterranean,"['chicken breast', 'olive oil', 'onion', 'bell pepper', 'broccoli', 'carrot', 'snap peas', 'cucumber']",18,22,40,2,easy,False,A fresh and herb-forward main dish built around chicken with sheet pan dinner.
Herb Chicken Skillet,entree,American,"['chicken breast', 'olive oil', 'salt', 'black pepper', 'onion', 'garlic', 'mushrooms', 'parsley', 'paprika']",12,23,35,4,easy,False,A hearty and simple main dish built around chicken with skillet.
Garlic Chicken Skillet,entree,American,"['chicken breast', 'olive oil', 'salt', 'black pepper', 'onion', 'garlic', 'broccoli', 'carrot', 'rosemary', 'parsley']",15,10,25,6,easy,False,A comfort-food style dinner built around chicken with skillet.
Smoky Chicken Skillet,entree,American,"['chicken breast', 'olive oil', 'garlic powder', 'butter']",12,18,30,4,easy,False,A comfort-food style dinner built around chicken with skillet.
Lemon Pepper Chicken Skillet,entree,American,"['chicken breast', 'olive oil', 'onion', 'garlic', 'butter']",12,10,22,4,easy,False,A savory weeknight entree built around chicken with skillet.
Roasted Chicken Skillet,entree,American,"['chicken breast', 'olive oil', 'onion', 'garlic', 'thyme', 'parsley']",10,15,25,6,easy,False,A hearty and simple main dish built around chicken with skillet.
Homestyle Chicken Skillet,entree,American,"['chicken breast', 'olive oil', 'onion', 'garlic', 'cauliflower', 'parsley', 'butter']",15,20,35,4,easy,False,A hearty and simple main dish built around chicken with skillet.
Chipotle Chicken Skillet,entree,Mexican,"['chicken breast', 'olive oil', 'onion', 'garlic', 'broccoli', 'carrot', 'snap peas', 'cilantro']",15,10,25,4,easy,False,A bold and zesty main dish built around chicken with skillet.
Cilantro Lime Chicken Skillet,entree,Mexican,"['chicken breast', 'olive oil', 'lime']",20,15,35,4,easy,False,A Mexican-inspired entree with bright flavors built around chicken with skillet.
Spicy Chicken Skillet,entree,Mexican,"['chicken breast', 'olive oil', 'garlic', 'cilantro', 'lime']",20,10,30,2,easy,False,A family-friendly taco night style meal built around chicken with skillet.
Smoky Chicken Cabbage Skillet,entree,Mexican,"['chicken breast', 'olive oil', 'onion', 'garlic', 'cabbage', 'cumin']",12,18,30,2,easy,False,A family-friendly taco night style meal built around chicken with skillet.
Salsa Verde Chicken Skillet,entree,Mexican,"['chicken breast', 'olive oil', 'onion', 'garlic', 'sweet potato', 'cilantro', 'chili powder']",18,17,35,2,easy,False,A bold and zesty main dish built around chicken with skillet.
Southwest Chicken Skillet,entree,Mexican,"['chicken breast', 'olive oil', 'salt', 'black pepper', 'onion', 'garlic', 'bell pepper', 'zucchini', 'chili powder']",18,17,35,4,easy,False,A family-friendly taco night style meal built around chicken with skillet.
Ginger Garlic Chicken Skillet,entree,Asian,"['chicken breast', 'olive oil', 'garlic']",18,12,30,2,easy,False,A savory umami-forward main dish built around chicken with skillet.
Sesame Chicken Skillet,entree,Asian,"['chicken breast', 'olive oil', 'onion', 'garlic']",15,20,35,2,easy,False,A quick Asian-inspired entree built around chicken with skillet.
Soy Glazed Chicken Skillet,entree,Asian,"['chicken breast', 'olive oil', 'onion', 'garlic', 'bell pepper']",15,15,30,2,easy,False,A savory umami-forward main dish built around chicken with skillet.
Sweet Chili Chicken Skillet,entree,Asian,"['chicken breast', 'olive oil', 'onion', 'garlic', 'corn', 'bell pepper']",10,20,30,4,easy,False,A savory umami-forward main dish built around chicken with skillet.
Teriyaki Chicken Skillet,entree,Asian,"['chicken breast', 'olive oil', 'onion', 'garlic', 'bell pepper', 'zucchini', 'ginger']",10,20,30,6,easy,False,A quick Asian-inspired entree built around chicken with skillet.
Scallion Chicken Skillet,entree,Asian,"['chicken breast', 'olive oil', 'onion', 'garlic', 'mushrooms', 'peas', 'sesame oil', 'green onion']",20,10,30,2,easy,False,A savory umami-forward main dish built around chicken with skillet.
Tuscan Chicken Skillet,entree,Italian,"['chicken breast', 'olive oil', 'salt', 'black pepper', 'onion', 'garlic', 'corn', 'basil', 'oregano']",18,10,28,6,easy,False,A Italian-inspired comfort entree built around chicken with skillet.
Basil Tomato Chicken Skillet,entree,Italian,"['chicken breast', 'olive oil', 'salt', 'black pepper', 'onion', 'garlic', 'bell pepper', 'zucchini', 'cream']",18,10,28,6,easy,False,A simple pasta-night style main dish built around chicken with skillet.
Garlic Parmesan Chicken Skillet,entree,Italian,"['chicken breast', 'olive oil', 'garlic', 'basil']",12,13,25,4,easy,False,A simple pasta-night style main dish built around chicken with skillet.
Rustic Chicken Skillet,entree,Italian,"['chicken breast', 'olive oil', 'onion', 'garlic', 'sweet potato']",15,15,30,4,easy,False,A savory herb-rich dinner built around chicken with skillet.
Creamy Herb Chicken Skillet,entree,Italian,"['chicken breast', 'olive oil', 'onion', 'garlic', 'mushrooms', 'peas']",20,15,35,2,easy,False,A Italian-inspired comfort entree built around chicken with skillet.
Roasted Garlic Chicken Skillet,entree,Italian,"['chicken breast', 'olive oil', 'onion', 'garlic', 'spinach', 'basil', 'parmesan']",20,15,35,6,easy,False,A Italian-inspired comfort entree built around chicken with skillet.
Ginger Garlic Chicken Curry,entree,Asian,"['chicken breast', 'olive oil', 'onion', 'garlic', 'coconut milk', 'eggplant', 'tomato', 'ginger']",18,27,45,2,medium,False,A takeout-style dinner made at home built around chicken with curry.
Sesame Chicken Curry,entree,Asian,"['chicken breast', 'olive oil', 'ginger']",12,28,40,6,medium,False,A quick Asian-inspired entree built around chicken with curry.
Soy Glazed Chicken Curry,entree,Asian,"['chicken breast', 'olive oil', 'sweet potato', 'soy sauce', 'ginger']",15,20,35,2,medium,False,A takeout-style dinner made at home built around chicken with curry.
Sweet Chili Chicken Curry,entree,Asian,"['chicken breast', 'olive oil', 'onion', 'garlic', 'coconut milk', 'ginger']",20,15,35,4,medium,False,A savory umami-forward main dish built around chicken with curry.
Teriyaki Chicken Curry,entree,Asian,"['chicken breast', 'olive oil', 'onion', 'garlic', 'coconut milk', 'sweet potato', 'ginger']",18,22,40,6,medium,False,A savory umami-forward main dish built around chicken with curry.
Scallion Chicken Curry,entree,Asian,"['chicken breast', 'olive oil', 'onion', 'garlic', 'coconut milk', 'spinach', 'tomato', 'honey', 'ginger']",20,15,35,2,medium,False,A savory umami-forward main dish built around chicken with curry.
Ginger Garlic Chicken Stir-Fry,entree,Asian,"['chicken breast', 'olive oil', 'garlic']",18,12,30,4,easy,False,A quick Asian-inspired entree built around chicken with stir-fry.
Sesame Chicken Stir-Fry,entree,Asian,"['chicken breast', 'olive oil', 'ginger', 'garlic']",18,12,30,2,easy,False,A quick Asian-inspired entree built around chicken with stir-fry.
Soy Glazed Chicken Stir-Fry,entree,Asian,"['chicken breast', 'olive oil', 'bell pepper', 'onion', 'garlic']",18,12,30,2,easy,False,A quick Asian-inspired entree built around chicken with stir-fry.
Sweet Chili Chicken Stir-Fry,entree,Asian,"['chicken breast', 'olive oil', 'bell pepper', 'onion', 'soy sauce', 'garlic']",20,10,30,6,easy,False,A takeout-style dinner made at home built around chicken with stir-fry.
Teriyaki Chicken Stir-Fry,entree,Asian,"['chicken breast', 'olive oil', 'bell pepper', 'onion', 'eggplant', 'ginger', 'garlic']",10,10,20,2,easy,False,A quick Asian-inspired entree built around chicken with stir-fry.
Scallion Chicken Stir-Fry,entree,Asian,"['chicken breast', 'olive oil', 'bell pepper', 'onion', 'kale', 'white beans', 'ginger', 'garlic']",15,10,25,6,easy,False,A savory umami-forward main dish built around chicken with stir-fry.
Herb Chicken Wrap,entree,American,"['chicken breast', 'olive oil', 'flour tortillas', 'cabbage', 'carrot', 'parsley', 'rosemary', 'lime', 'cilantro']",10,10,20,2,easy,False,A hearty and simple main dish built around chicken with wrap.
Garlic Chicken Wrap,entree,American,"['chicken breast', 'olive oil', 'flour tortillas', 'cabbage', 'carrot', 'green onion', 'butter', 'paprika', 'lime', 'cilantro']",18,10,28,2,easy,False,A comfort-food style dinner built around chicken with wrap.
Smoky Chicken Wrap,entree,American,"['chicken breast', 'olive oil', 'lime', 'cilantro']",15,10,25,4,easy,False,A hearty and simple main dish built around chicken with wrap.
Lemon Pepper Chicken Wrap,entree,American,"['chicken breast', 'olive oil', 'butter', 'lime', 'cilantro']",12,10,22,2,easy,False,A hearty and simple main dish built around chicken with wrap.
Roasted Chicken Wrap,entree,American,"['chicken breast', 'olive oil', 'flour tortillas', 'garlic powder', 'lime', 'cilantro']",12,13,25,6,easy,False,A comfort-food style dinner built around chicken with wrap.
